Int,Int,Int,Int,Int,Int,Int,Int
1213,1,1010,-1,-1,1020,1,12022
1214,0,1014,-1,-1,1050,1,12023
1214,1,1010,-1,-1,1050,4,12024
1215,0,1013,-1,-1,1050,1,12025
1215,1,1010,-1,-1,1050,4,12026
1216,0,1010,-1,-1,1050,4,12027
1216,1,1010,-1,-1,1050,1,12028
1217,0,1050,-1,-1,-1,1,12029
1290,0,1020,1014,-1,1050,2,12900
1290,1,1020,1010,-1,1050,4,12901
1290,2,1021,1010,-1,1050,1,12902
1290,3,1020,1011,-1,1050,2,12903
1380,0,1020,1014,-1,1050,2,13800
1380,1,1020,1010,-1,1050,4,13801
1380,2,1020,1010,-1,1050,1,13802
1380,3,1020,1010,-1,1050,1,13803
1300,0,1015,-1,-1,1020,1,13000
1300,1,1010,-1,-1,1020,4,13001
1301,0,1010,-1,-1,1020,1,13002
1301,1,1010,-1,-1,1020,4,13003
1302,0,1013,-1,-1,1020,1,13004
1302,1,1013,-1,-1,1020,4,13005
1303,0,1015,-1,-1,1051,1,13006
1303,1,1015,-1,-1,1051,4,13007
1304,0,1010,-1,-1,1050,4,13008
1304,1,1010,-1,-1,1050,1,13009
1305,0,1010,-1,-1,1020,4,13010
1305,1,1013,-1,-1,1020,1,13011
1306,0,1020,-1,-1,1050,1,13012
1306,1,1020,-1,-1,1051,4,13013
1307,0,1021,-1,-1,1050,1,13014
1307,1,1020,-1,-1,1050,4,13015
1308,0,1013,-1,-1,1050,4,13016
1308,1,1010,-1,-1,1050,1,13017
1309,0,1020,-1,-1,1050,4,13018
1309,1,1021,-1,-1,1050,1,13019
1310,0,1013,-1,-1,1050,4,13020
1310,1,1013,-1,-1,1050,1,13021
1311,0,1010,-1,-1,1050,1,13022
1311,1,1010,-1,-1,1050,4,13023
1312,0,1013,-1,-1,1051,4,13024
1312,1,1013,-1,-1,1051,1,13025
1313,0,1021,-1,-1,1051,1,13026
1313,1,1021,-1,-1,1051,4,13027
1314,0,1013,-1,-1,1050,1,13028
1314,1,1013,-1,-1,1050,4,13029
1315,0,1020,-1,-1,1050,4,13030
1315,1,1021,-1,-1,1050,1,13031
1316,0,1013,-1,-1,1051,4,13032
1316,1,1013,-1,-1,1051,1,13033
1317,0,1051,-1,-1,-1,1,13034
1318,0,1021,-1,-1,1051,4,13035
1318,1,1021,-1,-1,1051,1,13036
1319,0,1013,-1,-1,1051,1,13037
1319,1,1013,-1,-1,1051,4,13038
1390,0,1020,1010,-1,1050,2,13900
1390,1,1020,1010,-1,1050,4,13901
1390,2,1020,1010,-1,1050,1,13902
1390,3,1020,1010,-1,1050,4,13903
1480,0,1020,1014,-1,1050,2,14800
1480,1,1020,1010,-1,1050,1,14801
1480,2,1020,1010,-1,1050,2,14802
1480,3,1020,1013,-1,1050,4,14803
1400,0,1015,-1,-1,1020,1,14000
1400,1,1010,-1,-1,1020,4,14001
1401,0,1010,-1,-1,1050,1,14002
1401,1,1010,-1,-1,1050,4,14003
1402,0,1011,-1,-1,1020,4,14004
1402,1,1010,-1,-1,1020,1,14005
1403,0,1010,-1,-1,1050,1,14006
1403,1,1010,-1,-1,1050,4,14007
1404,0,1010,-1,-1,1020,4,14008
1404,1,1010,-1,-1,1020,1,14009
1405,0,1015,-1,-1,1020,1,14010
1405,1,1010,-1,-1,1020,4,14011
1406,0,1014,-1,-1,1020,1,14012
1406,1,1013,-1,-1,1022,4,14013
1407,0,1010,-1,-1,1050,1,14014
1407,1,1010,-1,-1,1050,4,14015
1408,0,1014,-1,-1,1020,1,14016
1408,1,1010,-1,-1,1020,4,14017
1409,0,1013,-1,-1,1050,4,14018
1409,1,1013,-1,-1,1050,1,14019
1410,0,1013,-1,-1,1020,4,14020
1410,1,1010,-1,-1,1020,1,14021
1411,0,1013,-1,-1,1050,4,14022
1411,1,1013,-1,-1,1050,1,14023
1412,0,1013,-1,-1,1050,1,14024
1412,1,1013,-1,-1,1050,4,14025
1413,0,1023,-1,-1,1050,1,14026
1413,1,1020,-1,-1,1050,4,14027
1414,0,1013,-1,-1,1020,1,14028
1414,1,1013,-1,-1,1020,4,14029
1415,0,1010,-1,-1,1050,1,14030
1415,1,1010,-1,-1,1050,4,14031
1416,0,1021,-1,-1,1050,1,14032
1416,1,1021,-1,-1,1050,4,14033
1417,0,1013,-1,-1,1020,4,14034
1417,1,1013,-1,-1,1020,1,14035
1418,0,1020,1013,-1,1050,2,14036
1418,1,1020,1015,-1,1050,4,14037
1419,0,1013,-1,-1,1020,1,14038
1419,1,1011,-1,-1,1020,4,14039
1420,0,1013,-1,-1,1050,4,14040
1420,1,1013,-1,-1,1050,1,14041
1421,0,1021,-1,-1,1050,1,14042
1421,1,1021,-1,-1,1050,4,14043
1490,0,1021,1013,-1,1050,4,14900
1490,1,1021,1013,-1,1050,1,14901
1490,2,1021,1013,-1,1050,2,14902
1490,3,1021,1013,-1,1050,4,14903
1490,4,1021,1013,-1,1050,2,14904
1490,5,1021,1013,-1,1050,1,14905
2180,0,1021,1013,-1,1030,1,21700
2180,1,1021,1013,-1,1030,2,21701
2180,2,1013,-1,1030,1040,3,21702
2180,3,1013,-1,1030,1040,4,21703
2180,4,1020,-1,1030,1040,1,21704
2180,5,1010,-1,-1,1031,4,21800
2180,6,1013,-1,-1,1031,1,21801
2180,7,1010,1020,-1,1030,2,21802
2100,0,1015,-1,-1,-1,1,21000
2101,0,1020,-1,-1,-1,1,21001
2102,0,1040,-1,-1,-1,1,21002
2103,0,1015,-1,-1,1020,1,21003
2103,1,1010,-1,-1,1021,4,21004
2104,0,1030,-1,-1,1041,4,21005
2104,1,1031,-1,-1,1040,1,21006
2105,0,1010,-1,-1,1020,4,21007
2105,1,1013,-1,-1,1020,1,21008
2106,0,1040,-1,-1,-1,1,21009
2107,0,1010,-1,-1,1040,1,21010
2107,1,1010,-1,-1,1041,4,21011
2108,0,1030,-1,-1,1040,1,21012
2108,1,1030,-1,-1,1040,4,21013
2109,0,1013,-1,-1,1023,1,21014
2109,1,1015,-1,-1,1021,4,21015
2110,0,1040,-1,-1,-1,1,21016
2111,0,1030,-1,-1,1040,1,21017
2111,1,1030,-1,-1,1041,4,21018
2112,0,1021,-1,-1,1040,1,21019
2112,1,1020,-1,-1,1041,4,21020
2113,0,1010,-1,-1,1041,4,21021
2113,1,1013,-1,-1,1040,1,21022
2114,0,1030,-1,-1,1040,4,21023
2114,1,1030,-1,-1,1041,1,21024
2115,0,1030,-1,-1,1041,4,21025
2115,1,1030,-1,-1,1040,1,21026
2116,0,1013,-1,-1,-1,1,21027
2117,0,1013,-1,-1,1040,1,21028
2117,1,1010,-1,-1,1040,4,21029
2118,0,1030,-1,-1,-1,1,21030
2119,0,1030,-1,-1,-1,1,21031
2120,0,1010,-1,-1,1041,4,21032
2120,1,1013,-1,-1,1040,1,21033
2190,0,1010,-1,1031,1040,3,21900
2190,1,1010,-1,1030,1040,1,21901
2190,2,1020,-1,1030,1041,4,21902
2190,3,1021,-1,1030,1040,1,21903
2280,0,1023,1010,-1,1040,1,22800
2280,1,1020,1015,-1,1040,2,22801
2280,2,1020,1010,-1,1040,4,22802
2280,3,1021,1010,-1,1040,1,22803
2200,0,1015,-1,-1,1040,1,22000
2200,1,1013,-1,-1,1041,4,22001
2201,0,1013,-1,-1,1020,1,22002
2201,1,1010,-1,-1,1021,4,22003
2202,0,1015,-1,-1,-1,1,22004
2203,0,1010,-1,-1,1023,4,22005
2203,1,1013,-1,-1,1020,1,22006
2204,0,1015,-1,-1,1020,1,22007
2204,1,1010,-1,-1,1020,4,22008
2205,0,1031,-1,-1,1040,1,22009
2205,1,1030,-1,-1,1041,4,22010
2206,0,1041,-1,-1,1031,1,22011
2206,1,1041,-1,-1,1031,4,22012
2207,0,1015,-1,-1,1020,1,22013
2207,1,1010,-1,-1,1021,4,22014
2208,0,1041,-1,-1,1030,1,22015
2208,1,1040,-1,-1,1030,4,22016
2209,0,1020,-1,-1,1040,4,22017
2209,1,1021,-1,-1,1040,1,22018
2210,0,1020,-1,-1,1030,4,22019
2210,1,1020,-1,-1,1030,1,22020
2211,0,1010,-1,-1,1041,4,22021
2211,1,1013,-1,-1,1040,1,22022
2212,0,1020,-1,-1,1040,1,22023
2212,1,1020,-1,-1,1041,4,22024
2213,0,1020,-1,-1,1030,1,22025
2213,1,1020,-1,-1,1030,4,22026
2214,0,1010,-1,-1,1041,4,22027
2214,1,1013,-1,-1,1040,1,22028
2215,0,1010,-1,-1,1041,4,22029
2215,1,1013,-1,-1,1040,1,22030
2216,0,1010,-1,-1,1030,4,22031
2216,1,1013,-1,-1,1030,1,22032
2217,0,1041,-1,-1,1030,1,22033
2217,1,1040,-1,-1,1030,4,22034
2218,0,1020,-1,-1,1030,4,22035
2218,1,1020,-1,-1,1030,1,22036
2219,0,1041,-1,-1,-1,1,22037
2220,0,1010,-1,-1,1041,4,22038
2220,1,1013,-1,-1,1040,1,22039
2221,0,1013,-1,-1,1040,1,22040
2221,1,1010,-1,-1,1041,4,22041
2290,0,1020,-1,-1,1040,1,22900
2290,1,1020,-1,-1,1040,4,22901
2290,2,1020,-1,-1,1041,4,22902
2380,0,1013,-1,1030,1040,1,23800
2380,1,1013,-1,1030,1040,3,23801
2380,2,1010,-1,1030,1041,4,23802
2300,0,1013,-1,-1,1040,1,23000
2300,1,1010,-1,-1,1041,4,23001
2301,0,1030,-1,-1,1040,4,23002
2301,1,1030,-1,-1,1040,1,23003
2302,0,1010,-1,-1,1041,4,23004
2302,1,1013,-1,-1,1040,1,23005
2303,0,1020,-1,-1,1031,4,23006
2303,1,1021,-1,-1,1030,1,23007
2304,0,1015,-1,-1,1020,1,23008
2304,1,1010,-1,-1,1021,4,23009
2305,0,1020,-1,-1,1030,4,23010
2305,1,1020,-1,-1,1030,1,23011
2306,0,1010,-1,-1,1040,4,23012
2306,1,1013,-1,-1,1040,1,23013
2307,0,1010,-1,-1,1030,4,23014
2307,1,1013,-1,-1,1030,1,23015
2308,0,1020,-1,-1,1041,4,23016
2309,0,1021,-1,-1,1040,1,23017
2309,1,1020,-1,-1,1041,4,23018
2310,0,1030,-1,-1,1041,4,23019
2310,1,1030,-1,-1,1040,1,23020
2311,0,1010,-1,-1,1041,4,23021
2311,1,1013,-1,-1,1040,1,23022
2312,0,1021,-1,-1,1040,1,23023
2312,1,1020,-1,-1,1041,4,23024
2313,0,1013,-1,-1,1040,1,23025
2313,1,1010,-1,-1,1041,4,23026
2314,0,1020,-1,-1,1030,1,23027
2314,1,1020,-1,-1,1030,4,23028
2315,0,1010,-1,-1,1040,4,23029
2315,1,1010,-1,-1,1040,1,23030
2316,0,1030,-1,-1,-1,1,23031
2317,0,1040,-1,-1,-1,1,23032
2318,0,1010,-1,-1,1030,1,23033
2318,1,1010,-1,-1,1030,4,23034
2319,0,1030,-1,-1,1040,4,23035
2319,1,1030,-1,-1,1040,1,23036
2390,0,1020,-1,1030,1040,1,23900
2390,1,1020,-1,1030,1041,4,23901
2390,2,1020,-1,1030,1040,3,23902
2390,3,1020,-1,1030,1040,1,23903
2480,0,1020,-1,1030,1040,3,24800
2480,1,1023,-1,1030,1040,1,24801
2480,2,1010,-1,1030,1040,4,24802
2480,3,1010,-1,1030,1040,1,24803
2400,0,1015,-1,-1,1020,1,24000
2400,1,1010,-1,-1,1020,4,24001
2401,0,1010,-1,-1,1020,4,24002
2401,1,1010,-1,-1,1020,1,24003
2402,0,1010,-1,-1,1040,1,24004
2402,1,1010,-1,-1,1041,4,24005
2403,0,1010,-1,-1,1020,1,24006
2403,1,1010,-1,-1,1023,4,24007
2404,0,1015,-1,-1,1020,1,24008
2404,1,1010,-1,-1,1023,4,24009
2405,0,1030,-1,-1,1041,4,24010
2405,1,1030,-1,-1,1040,1,24011
2406,0,1030,-1,-1,1040,1,24012
2406,1,1030,-1,-1,1041,4,24013
2407,0,1010,-1,-1,1040,4,24014
2407,1,1013,-1,-1,1040,1,24015
2408,0,1041,-1,-1,-1,1,24016
2409,0,1030,-1,-1,1040,1,24017
2409,1,1030,-1,-1,1041,4,24018
2410,0,1030,-1,-1,1041,4,24019
2410,1,1030,-1,-1,1040,1,24020
2411,0,1020,-1,-1,1041,4,24021
2411,1,1020,-1,-1,1040,1,24022
2412,0,1010,-1,-1,1040,1,24023
2412,1,1010,-1,-1,1041,4,24024
2413,0,1030,-1,-1,1040,1,24025
2413,1,1030,-1,-1,1041,4,24026
2414,0,1010,-1,-1,1041,4,24027
2414,1,1013,-1,-1,1040,1,24028
2415,0,1021,-1,-1,1030,1,24029
2415,1,1020,-1,-1,1030,4,24030
2416,0,1030,-1,-1,1041,4,24031
2416,1,1030,-1,-1,1040,1,24032
2417,0,1010,-1,-1,1041,4,24033
2417,1,1013,-1,-1,1040,1,24034
2418,0,1023,-1,-1,1040,1,24035
2418,1,1020,-1,-1,1040,4,24036
2419,0,1013,-1,-1,1030,1,24037
2419,1,1010,-1,-1,1030,4,24038
2490,0,1020,1010,-1,1040,1,24900
2490,1,1020,1010,-1,1041,4,24901
2490,2,1020,1013,-1,1040,2,24902
2490,3,1020,1010,-1,1041,4,24903
2490,4,1020,1010,-1,1030,4,24904
2490,5,1020,1013,-1,1030,2,24905
2490,6,1020,1010,-1,1030,1,24906
3180,0,1021,1013,-1,1070,1,31700
3180,1,1020,1013,-1,1070,2,31701
3180,2,1020,1010,-1,1070,4,31702
3180,3,1020,1010,-1,1060,4,31703
3180,4,1020,1013,-1,1060,2,31704
3180,5,1020,1010,-1,1060,2,31800
3180,6,1020,1010,-1,1070,4,31801
3180,7,1020,1010,-1,1060,4,31802
3180,8,1020,1010,-1,1060,1,31803
3100,0,1070,-1,-1,1060,1,31000
3100,1,1070,-1,-1,1060,4,31001
3101,0,1060,-1,-1,1070,1,31002
3101,1,1060,-1,-1,1070,4,31003
3102,0,1020,-1,-1,1060,1,31004
3102,1,1020,-1,-1,1060,4,31005
3103,0,1010,-1,-1,1060,4,31006
3103,1,1010,-1,-1,1060,1,31007
3104,0,1070,-1,-1,1060,1,31008
3104,1,1070,-1,-1,1060,4,31009
3105,0,1020,-1,-1,1060,4,31010
3105,1,1020,-1,-1,1060,1,31011
3106,0,1020,-1,-1,1070,1,31012
3106,1,1020,-1,-1,1070,4,31013
3107,0,1013,-1,-1,1070,4,31014
3107,1,1010,-1,-1,1070,1,31015
3108,0,1070,-1,-1,1060,1,31016
3108,1,1070,-1,-1,1060,4,31017
3109,0,1010,-1,-1,1060,4,31018
3109,1,1013,-1,-1,1060,1,31019
3110,0,1020,-1,-1,1070,1,31020
3110,1,1020,-1,-1,1070,4,31021
3111,0,1013,-1,-1,1070,1,31022
3111,1,1010,-1,-1,1070,4,31023
3112,0,1021,-1,-1,1060,1,31024
3112,1,1020,-1,-1,1060,4,31025
3113,0,1010,-1,-1,1070,4,31026
3113,1,1010,-1,-1,1070,1,31027
3114,0,1020,-1,-1,1060,4,31028
3114,1,1020,-1,-1,1060,1,31029
3115,0,1020,-1,-1,1070,1,31030
3115,1,1020,-1,-1,1070,4,31031
3116,0,1010,-1,-1,1070,4,31032
3116,1,1010,-1,-1,1070,1,31033
3117,0,1010,-1,-1,1070,1,31034
3117,1,1010,-1,-1,1070,4,31035
3118,0,1060,-1,-1,1070,1,31036
3118,1,1060,-1,-1,1070,4,31037
3119,0,1020,-1,-1,1070,4,31038
3119,1,1020,-1,-1,1070,1,31039
3190,0,1010,-1,1070,1060,3,31900
3190,1,1010,-1,1070,1060,1,31901
3190,2,1013,-1,1070,1060,4,31902
3280,0,1010,-1,-1,1070,1,32800
3280,1,1010,-1,-1,1070,4,32801
3280,2,1010,-1,-1,1070,1,32802
3200,0,1070,-1,-1,-1,1,32000
3201,0,1020,-1,-1,1070,1,32001
3201,1,1020,-1,-1,1070,4,32002
3202,0,1070,-1,-1,-1,1,32003
3203,0,1020,-1,-1,1070,1,32004
3203,1,1020,-1,-1,1070,4,32005
3204,0,1070,-1,-1,1060,4,32006
3204,1,1070,-1,-1,1060,1,32007
3205,0,1010,-1,-1,1020,4,32008
3205,1,1010,-1,-1,1020,1,32009
3206,0,1070,-1,-1,-1,1,32010
3207,0,1010,-1,-1,1060,4,32011
3207,1,1010,-1,-1,1060,1,32012
3208,0,1010,-1,-1,1070,4,32013
3208,1,1013,-1,-1,1070,1,32014
3209,0,1021,-1,-1,1070,1,32015
3209,1,1020,-1,-1,1070,4,32016
3210,0,1010,-1,-1,1070,4,32017
3210,1,1013,-1,-1,1070,1,32018
3211,0,1060,-1,-1,1070,1,32019
3211,1,1060,-1,-1,1070,4,32020
3212,0,1070,-1,-1,-1,1,32021
3213,0,1020,-1,-1,1070,1,32022
3213,1,1020,-1,-1,1070,4,32023
3214,0,1020,-1,-1,1060,1,32024
3214,1,1020,-1,-1,1060,4,32025
3215,0,1010,-1,-1,1060,1,32026
3215,1,1010,-1,-1,1060,4,32027
3216,0,1020,-1,-1,1060,4,32028
3216,1,1020,-1,-1,1060,1,32029
3217,0,1010,-1,-1,1070,1,32030
3217,1,1010,-1,-1,1070,4,32031
3218,0,1060,-1,-1,1070,1,32032
3218,1,1060,-1,-1,1070,4,32033
3219,0,1010,-1,-1,1070,1,32034
3219,1,1010,-1,-1,1070,4,32035
3220,0,1020,-1,-1,1060,1,32036
3220,1,1020,-1,-1,1060,4,32037
3290,0,1020,-1,1070,1060,3,32900
3290,1,1020,-1,1070,1061,4,32901
3290,2,1021,-1,1070,1060,1,32902
3380,0,1020,1010,-1,1070,2,33800
3380,1,1020,1010,-1,1070,4,33801
3380,2,1020,1010,-1,1070,1,33802
3300,0,1070,-1,-1,-1,1,33000
3301,0,1020,-1,-1,1070,1,33001
3301,1,1020,-1,-1,1070,4,33002
3302,0,1020,-1,-1,1060,4,33003
3303,0,1020,-1,-1,1060,1,33004
3304,0,1070,-1,-1,1060,1,33005
3304,1,1070,-1,-1,1060,4,33006
3305,0,1010,-1,-1,1020,1,33007
3305,1,1010,-1,-1,1020,4,33008
3306,0,1020,-1,-1,1060,1,33009
3306,1,1020,-1,-1,1060,4,33010
3307,0,1010,-1,-1,1070,4,33011
3307,1,1010,-1,-1,1070,1,33012
3308,0,1021,-1,-1,1070,1,33013
3308,1,1021,-1,-1,1070,4,33014
3309,0,1070,-1,-1,-1,1,33015
3310,0,1010,-1,-1,1070,4,33016
3310,1,1010,-1,-1,1070,1,33017
3311,0,1020,-1,-1,1070,1,33018
3311,1,1020,-1,-1,1070,4,33019
3312,0,1013,-1,-1,1070,1,33020
3312,1,1013,-1,-1,1070,4,33021
3313,0,1020,-1,-1,1061,4,33022
3313,1,1020,-1,-1,1061,1,33023
3314,0,1013,-1,-1,1070,4,33024
3314,1,1013,-1,-1,1070,1,33025
3315,0,1070,-1,-1,-1,1,33026
3316,0,1061,-1,-1,-1,1,33027
3317,0,1013,-1,-1,1070,1,33028
3317,1,1013,-1,-1,1070,4,33029
3318,0,1021,-1,-1,1061,4,33030
3318,1,1021,-1,-1,1061,1,33031
3319,0,1070,-1,-1,-1,1,33032
3320,0,1061,-1,-1,1070,1,33033
3320,1,1061,-1,-1,1070,4,33034
3390,0,1021,1013,-1,1070,4,33900
3390,1,1021,1013,-1,1070,2,33901
3390,2,1021,1013,-1,1070,1,33902
3480,0,1020,-1,1070,1060,3,34800
3480,1,1020,-1,1070,1060,4,34801
3480,2,1020,-1,1070,1060,1,34802
3400,0,1070,-1,-1,1060,1,34000
3400,1,1070,-1,-1,1060,4,34001
3401,0,1010,-1,-1,1060,4,34002
3401,1,1010,-1,-1,1060,1,34003
3402,0,1070,-1,-1,-1,1,34004
3403,0,1020,-1,-1,1060,1,34005
3403,1,1020,-1,-1,1060,4,34006
3404,0,1070,-1,-1,-1,1,34007
3405,0,1010,-1,-1,1070,1,34008
3405,1,1010,-1,-1,1070,4,34009
3406,0,1020,-1,-1,1060,1,34010
3406,1,1020,-1,-1,1060,4,34011
3407,0,1010,-1,-1,1070,1,34012
3407,1,1010,-1,-1,1070,4,34013
3408,0,1020,-1,-1,1060,4,34014
3408,1,1020,-1,-1,1060,1,34015
3409,0,1010,-1,-1,1070,1,34016
3409,1,1010,-1,-1,1070,4,34017
3410,0,1060,-1,-1,-1,1,34018
3411,0,1020,-1,-1,1070,4,34019
3411,1,1020,-1,-1,1070,1,34020
3412,0,1060,-1,-1,1070,1,34021
3412,1,1060,-1,-1,1070,4,34022
3413,0,1070,-1,-1,1060,1,34023
3413,1,1070,-1,-1,1060,4,34024
3414,0,1020,-1,-1,1070,1,34025
3414,1,1020,-1,-1,1070,4,34026
3415,0,1010,-1,-1,1070,4,34027
3415,1,1010,-1,-1,1070,1,34028
3416,0,1060,-1,-1,-1,1,34029
3417,0,1070,-1,-1,-1,1,34030
3418,0,1060,-1,-1,1070,1,34031
3418,1,1060,-1,-1,1070,4,34032
3419,0,1020,-1,-1,1060,1,34033
3419,1,1020,-1,-1,1060,4,34034
3420,0,1060,-1,-1,-1,1,34035
3421,0,1060,-1,-1,-1,1,34036
3490,0,1010,-1,1070,1060,3,34900
3490,1,1010,-1,1070,1060,4,34901
3490,2,1010,-1,1070,1060,1,34902
3490,3,1010,-1,1070,1060,4,34903
3490,4,1020,-1,1070,1060,1,34904
3490,5,1010,-1,1070,1060,1,34905
4180,0,1020,1010,-1,1080,2,41800
4180,1,1020,1010,-1,1080,4,41801
4180,2,1020,1010,-1,1080,1,41802
4180,3,1020,1010,-1,1080,1,41803
4180,4,1020,1010,-1,1080,4,41804
4180,5,1020,1010,-1,1080,1,41805
4100,0,1015,-1,-1,1020,1,41000
4100,1,1015,-1,-1,1020,4,41001
4101,0,1010,-1,-1,1080,1,41002
4101,1,1010,-1,-1,1080,4,41003
4102,0,1020,-1,-1,-1,1,41004
4103,0,1010,-1,-1,1020,1,41005
4103,1,1015,-1,-1,1020,4,41006
4104,0,1015,-1,-1,1020,1,41007
4104,1,1010,-1,-1,1020,4,41008
4105,0,1015,-1,-1,1020,1,41009
4105,1,1010,-1,-1,1020,4,41010
4106,0,1010,-1,-1,1080,1,41011
4106,1,1010,-1,-1,1080,4,41012
4107,0,1020,-1,-1,1080,4,41013
4107,1,1020,-1,-1,1080,1,41014
4108,0,1020,-1,-1,1080,4,41015
4108,1,1020,-1,-1,1080,1,41016
4109,0,1010,-1,-1,1080,4,41017
4109,1,1010,-1,-1,1080,1,41018
4110,0,1080,-1,-1,-1,1,41019
4111,0,1020,-1,-1,1080,4,41020
4111,1,1020,-1,-1,1080,1,41021
4112,0,1010,-1,-1,1080,4,41022
4112,1,1010,-1,-1,1080,1,41023
4113,0,1010,-1,-1,1080,4,41024
4113,1,1010,-1,-1,1080,1,41025
4114,0,1020,-1,-1,1080,1,41026
4114,1,1020,-1,-1,1080,4,41027
4115,0,1010,-1,-1,1080,1,41028
4115,1,1010,-1,-1,1080,4,41029
4116,0,1080,-1,-1,-1,1,41030
4117,0,1080,-1,-1,-1,1,41031
4118,0,1080,-1,-1,-1,1,41032
4119,0,1080,-1,-1,-1,1,41033
4120,0,1010,-1,-1,1080,4,41034
4120,1,1010,-1,-1,1080,1,41035
4190,0,1020,1010,-1,1080,2,41900
4190,1,1020,1010,-1,1080,4,41901
4190,2,1020,1010,-1,1080,1,41902
4190,3,1020,1010,-1,1080,4,41903
4280,0,1020,1013,-1,1080,2,42800
4280,1,1020,1010,-1,1080,4,42801
4280,2,1023,1010,-1,1080,1,42802
4280,3,1020,1010,-1,1080,4,42803
4200,0,1020,-1,-1,1080,1,42000
4200,1,1020,-1,-1,1080,4,42001
4201,0,1020,-1,-1,1080,1,42002
4201,1,1020,-1,-1,1080,4,42003
4202,0,1080,-1,-1,-1,1,42004
4203,0,1015,-1,-1,-1,1,42005
4204,0,1080,-1,-1,-1,1,42006
4205,0,1080,-1,-1,-1,1,42007
4206,0,1020,-1,-1,1080,4,42008
4206,1,1020,-1,-1,1080,1,42009
4207,0,1080,-1,-1,-1,1,42010
4208,0,1010,-1,-1,1080,4,42011
4208,1,1010,-1,-1,1080,1,42012
4209,0,1020,-1,-1,1080,1,42013
4209,1,1020,-1,-1,1080,4,42014
4210,0,1010,-1,-1,1080,4,42015
