Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int
29,0,10000,50,10001,1,10002,1,10004,1,10003,100,-1,-1,-1,-1,-1,-1
30,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
31,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
32,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
33,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
34,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
35,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
36,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
37,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
38,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
39,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
40,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
41,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
42,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
43,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
44,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
45,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
46,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
47,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
48,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
49,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
50,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
51,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
52,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
53,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
54,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
55,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
56,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
57,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
58,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
59,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
60,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
61,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
62,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
63,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
64,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
65,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
66,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
67,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
68,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
69,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
70,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
71,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
72,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
73,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
74,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
75,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
76,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
77,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
78,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
79,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
80,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
81,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
82,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
83,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
84,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
85,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
86,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
87,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
88,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
89,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
90,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
91,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
92,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
93,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
94,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
95,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
96,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
97,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
98,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
99,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
100,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
101,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
102,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
103,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
104,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
105,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
106,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
107,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
108,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
109,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
110,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
111,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
112,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
113,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
114,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
115,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
116,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
117,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
118,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
119,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
120,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
121,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
122,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
123,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
124,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
125,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
126,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
127,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
128,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
129,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
130,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
131,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
132,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
133,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
134,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
135,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
136,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
137,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
138,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
139,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
140,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
141,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
142,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
143,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
144,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
145,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
146,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
147,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
148,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
149,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
150,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
151,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
152,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
153,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
154,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
155,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
156,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
157,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
158,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
159,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
160,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
161,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
162,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
163,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
164,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
165,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
166,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
167,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
168,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
169,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
170,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
171,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
172,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
173,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
174,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
175,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
176,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
177,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
178,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
179,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
180,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
181,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
182,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
183,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
184,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
185,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
186,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
187,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
188,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
189,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
190,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
191,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
192,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
193,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
194,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
195,1,10000,100,10001,2,10002,2,10004,2,10003,50,-1,-1,-1,-1,-1,-1
196,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
197,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
198,0,10000,50,10001,1,10002,1,10004,1,-1,-1,-1,-1,-1,-1,-1,-1
199,2,10000,150,10001,3,10002,3,10004,3,10003,100,-1,-1,-1,-1,-1,-1
200,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
201,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
202,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
203,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
204,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
205,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
206,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
207,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
208,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
209,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
210,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
211,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
212,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
213,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
214,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
215,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
216,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
217,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
218,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
219,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
220,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
221,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
222,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
223,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
224,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
225,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
226,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
227,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
228,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
229,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
230,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
231,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
232,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
233,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
234,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
235,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
236,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
237,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
238,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
239,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
240,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
241,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
242,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
243,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
244,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
245,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
246,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
247,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
248,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
249,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
250,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
251,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
252,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
253,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
254,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
255,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
256,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
257,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
258,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
259,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
260,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
261,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
262,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
263,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
264,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
265,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
266,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
267,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
268,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
269,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
270,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
271,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
272,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
273,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
274,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
275,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
276,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
277,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
278,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
279,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
280,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
281,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
282,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
283,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
284,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
285,1,10000,100,10001,2,10002,2,10004,3,10003,50,-1,-1,-1,-1,-1,-1
286,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
287,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
288,0,10000,50,10001,1,10002,1,10004,2,-1,-1,-1,-1,-1,-1,-1,-1
289,2,10000,150,10001,3,10002,3,10004,4,10003,100,-1,-1,-1,-1,-1,-1
