Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int,Int
1304,1804,18,1,1,3,-1,-1,1,1311,0,1,-1,1303,-1,-1,0
1305,1805,18,1,1,3,-1,-1,1,1312,0,1,-1,1304,-1,-1,1
1306,1806,18,1,1,3,-1,-1,1,1313,0,1,-1,1305,-1,-1,0
1307,1807,18,1,1,3,-1,-1,1,1314,0,1,-1,1306,-1,-1,0
1308,1808,18,1,1,3,-1,-1,1,1315,0,1,-1,1307,-1,-1,1
1309,1809,18,1,1,3,-1,-1,1,1316,0,1,-1,1308,-1,-1,0
1310,1810,18,1,1,3,-1,-1,1,1317,0,1,-1,1309,-1,-1,0
1311,1811,18,1,1,3,-1,-1,1,1318,0,1,-1,1310,-1,-1,1
1312,1812,18,1,1,3,-1,-1,1,1319,0,1,-1,1311,-1,-1,0
1499,495,4,-1,0,1,-1,-1,1,1400,0,-1,1,-1,-1,-1,0
1498,496,4,-1,0,1,-1,-1,1,1401,1,-1,1,-1,-1,-1,0
1497,497,4,-1,0,1,-1,-1,1,1402,7,-1,1,-1,-1,-1,0
1496,498,4,-1,0,1,-1,-1,1,1403,7,-1,1,-1,-1,-1,1
1495,499,4,-1,0,1,-1,-1,1,1404,4,-1,1,-1,-1,-1,0
1494,404,4,-1,0,1,-1,-1,1,1405,6,-1,1,-1,-1,-1,0
1493,405,4,-1,0,1,-1,-1,1,1406,2,-1,1,-1,50,-1,1
1400,400,4,0,1,3,-1,-1,1,1407,0,1,-1,-1,-1,-1,0
1401,401,4,0,1,3,-1,-1,1,1408,0,1,-1,1400,-1,-1,2
1402,402,4,0,1,3,-1,-1,1,1409,0,1,-1,1401,-1,-1,0
1403,403,4,0,1,3,-1,-1,1,1410,0,1,-1,1402,100,-1,1
1404,404,4,1,1,3,-1,-1,1,1411,0,1,-1,1403,-1,-1,0
1405,405,4,1,1,3,-1,-1,1,1412,0,1,-1,1404,30,30,1
1406,406,4,1,1,3,-1,-1,1,1413,0,1,-1,1405,-1,-1,0
1407,407,4,1,1,3,-1,-1,1,1414,0,1,-1,1406,-1,-1,0
1408,408,4,1,1,3,-1,-1,1,1415,0,1,-1,1407,-1,-1,0
1409,409,4,1,1,3,-1,-1,1,1416,0,1,-1,1408,-1,-1,0
1410,410,4,1,1,3,-1,-1,1,1417,0,1,-1,1409,-1,-1,0
1411,411,4,1,1,3,-1,-1,1,1418,0,1,-1,1410,-1,-1,1
1412,412,4,1,1,3,-1,-1,1,1419,0,1,-1,1411,-1,-1,0
1413,413,4,1,1,3,-1,-1,1,1420,1,1,-1,1412,-1,-1,0
1414,414,4,1,1,3,-1,-1,1,1421,2,1,-1,1413,-1,-1,0
2199,2094,20,-1,0,1,-1,-1,1,2100,3,-1,1,-1,-1,-1,0
2198,2095,20,-1,0,1,-1,-1,1,2101,4,-1,1,-1,-1,-1,0
2197,2096,20,-1,0,1,-1,-1,1,2102,5,-1,1,-1,-1,-1,0
2196,2097,20,-1,0,1,-1,-1,1,2103,6,-1,1,-1,-1,-1,3
2195,2098,20,-1,0,1,-1,-1,1,2104,7,-1,1,-1,-1,-1,1
2194,2099,20,-1,0,1,-1,-1,1,2105,8,-1,1,-1,-1,-1,0
2193,2013,20,-1,0,1,-1,-1,1,2106,9,-1,1,-1,-1,-1,2
2100,2000,20,0,1,3,-1,-1,1,2107,0,1,-1,-1,-1,-1,0
2101,2001,20,0,1,3,-1,-1,1,2108,0,1,-1,2100,-1,-1,2
2102,2002,20,0,1,3,-1,-1,1,2109,0,1,-1,2101,-1,-1,0
2103,2003,20,0,1,3,-1,-1,1,2110,0,1,-1,2102,-1,-1,0
2104,2004,20,1,1,3,-1,-1,1,2111,0,1,-1,2103,-1,-1,0
2105,2005,20,1,1,3,-1,-1,1,2112,0,1,-1,2104,-1,-1,0
2106,2006,20,1,1,3,-1,-1,1,2113,0,1,-1,2105,-1,-1,0
2107,2007,20,1,1,3,-1,-1,1,2114,0,1,-1,2106,-1,-1,0
2108,2008,20,1,1,3,-1,-1,1,2115,0,1,-1,2107,-1,-1,0
2109,2009,20,1,1,3,-1,-1,1,2116,0,1,-1,2108,-1,-1,1
2110,2010,20,1,1,3,-1,-1,1,2117,0,1,-1,2109,-1,-1,1
2111,2011,20,1,1,3,-1,-1,1,2118,0,1,-1,2110,-1,-1,0
2112,2012,20,1,1,3,-1,-1,1,2119,0,1,-1,2111,-1,-1,0
2113,2013,20,1,1,3,-1,-1,1,2120,0,1,-1,2112,-1,-1,2
2299,896,8,-1,0,1,-1,-1,1,2200,0,-1,1,-1,-1,-1,1
2298,897,8,-1,0,1,-1,-1,1,2201,0,-1,1,-1,-1,-1,0
2297,898,8,-1,0,1,-1,-1,1,2202,0,-1,1,-1,-1,-1,0
2296,899,8,-1,0,1,-1,-1,1,2203,0,-1,1,-1,-1,-1,1
2295,804,8,-1,0,1,-1,-1,1,2204,0,-1,1,-1,-1,-1,3
2294,806,8,-1,0,1,-1,-1,1,2205,0,-1,1,-1,-1,-1,0
2293,809,8,-1,0,1,-1,-1,1,2206,0,-1,1,-1,40,-1,1
2292,810,8,-1,0,1,-1,-1,1,2207,0,-1,1,-1,-1,-1,1
2200,800,8,0,1,3,-1,-1,1,2208,0,1,-1,-1,-1,-1,0
2201,801,8,0,1,3,-1,-1,1,2209,0,1,-1,2200,-1,-1,2
2202,802,8,0,1,3,-1,-1,1,2210,0,1,-1,2201,-1,-1,0
2203,803,8,0,1,3,-1,-1,2,2211,0,1,-1,2202,-1,-1,0
2204,804,8,1,1,3,-1,-1,2,2212,0,1,-1,2203,-1,-1,2
2205,805,8,1,1,3,-1,-1,2,2213,0,1,-1,2204,-1,-1,0
2206,806,8,1,1,3,-1,-1,2,2214,0,1,-1,2205,-1,-1,0
2207,807,8,1,1,3,-1,-1,2,2215,0,1,-1,2206,-1,-1,0
2208,808,8,1,1,3,-1,-1,2,2216,0,1,-1,2207,-1,-1,0
2209,809,8,1,1,3,-1,-1,2,2217,0,1,-1,2208,70,-1,1
2210,810,8,1,1,3,-1,-1,2,2218,0,1,-1,2209,-1,-1,1
2211,811,8,1,1,3,-1,-1,2,2219,0,1,-1,2210,-1,-1,1
2212,812,8,1,1,3,-1,-1,2,2220,0,1,-1,2211,-20,-1,0
2213,813,8,1,1,3,-1,-1,2,2221,0,1,-1,2212,-1,-1,0
2399,1696,16,-1,0,1,-1,-1,1,2300,0,-1,1,-1,-1,-1,0
2398,1697,16,-1,0,1,-1,-1,1,2301,0,-1,1,-1,-1,-1,0
2397,1698,16,-1,0,1,-1,-1,1,2302,0,-1,1,-1,-1,-1,0
2396,1699,16,-1,0,1,-1,-1,1,2303,0,-1,1,-1,-1,-1,1
2395,1614,16,-1,0,1,-1,-1,1,2304,0,-1,1,-1,-1,-1,2
2300,1600,16,0,1,3,-1,-1,1,2305,0,1,-1,-1,-1,-1,0
2301,1601,16,0,1,3,-1,-1,1,2306,0,1,-1,2300,-1,-100,2
2302,1602,16,0,1,3,-1,-1,1,2307,0,1,-1,2301,-1,-1,0
2303,1603,16,0,1,3,-1,-1,1,2308,0,1,-1,2302,-1,-1,1
2304,1604,16,1,1,3,-1,-1,1,2309,0,1,-1,2303,-1,-1,1
2305,1605,16,1,1,3,-1,-1,2,2310,0,1,-1,2304,-1,-1,0
2306,1606,16,1,1,3,-1,-1,2,2311,0,1,-1,2305,-1,-1,0
2307,1607,16,1,1,3,-1,-1,2,2312,0,1,-1,2306,-1,-1,0
2308,1608,16,1,1,3,-1,-1,2,2313,0,1,-1,2307,-1,-1,0
2309,1609,16,1,1,3,-1,-1,2,2314,0,1,-1,2308,-1,-1,1
2310,1610,16,1,1,3,-1,-1,2,2315,0,1,-1,2309,70,-1,1
2311,1611,16,1,1,3,-1,-1,2,2316,0,1,-1,2310,-1,-1,0
2312,1612,16,1,1,3,-1,-1,2,2317,0,1,-1,2311,-1,-1,0
2313,1613,16,1,1,3,-1,-1,2,2318,0,1,-1,2312,-1,-1,0
2314,1614,16,1,1,3,-1,-1,2,2319,0,1,-1,2313,-1,-1,0
2499,797,7,-1,0,1,-1,-1,1,2400,0,-1,1,-1,-1,-1,1
2498,798,7,-1,0,1,-1,-1,1,2401,0,-1,1,-1,-1,-1,0
2497,799,7,-1,0,1,-1,-1,1,2402,0,-1,1,-1,-1,30,1
2496,705,7,-1,0,1,-1,-1,1,2403,0,-1,1,-1,-1,-1,3
2495,710,7,-1,0,1,-1,-1,1,2404,0,-1,1,-1,-1,-1,0
2400,700,7,0,1,3,-1,-1,1,2405,0,1,-1,-1,-1,-1,0
2401,701,7,0,1,3,-1,-1,1,2406,0,1,-1,2400,-1,-1,2
2402,702,7,0,1,3,-1,-1,1,2407,0,1,-1,2401,-1,-1,0
2403,703,7,0,1,3,-1,-1,1,2408,0,1,-1,2402,-1,-1,1
2404,704,7,1,1,3,-1,-1,3,2409,0,1,-1,2403,-1,-1,1
2405,705,7,1,1,3,-1,-1,2,2410,0,1,-1,2404,-1,-1,3
2406,706,7,1,1,3,-1,-1,3,2411,0,1,-1,2405,-1,-1,3
2407,707,7,1,1,3,-1,-1,2,2412,0,1,-1,2406,-1,-1,0
2408,708,7,1,1,3,-1,-1,1,2413,0,1,-1,2407,-1,-1,1
2409,709,7,1,1,3,-1,-1,2,2414,0,1,-1,2408,-1,-1,1
2410,710,7,1,1,3,-1,-1,2,2415,0,1,-1,2409,-1,-1,0
2411,711,7,1,1,3,-1,-1,1,2416,0,1,-1,2410,-1,-1,0
2412,712,7,1,1,3,-1,-1,2,2417,0,1,-1,2411,-1,-1,0
2413,713,7,1,1,3,-1,-1,1,2418,0,1,-1,2412,-40,-1,0
2414,714,7,1,1,3,-1,-1,2,2419,0,1,-1,2413,-1,30,1
3199,1995,19,-1,0,1,-1,-1,1,3100,0,-1,1,-1,-1,-1,0
3198,1996,19,-1,0,1,-1,-1,1,3101,0,-1,1,-1,-1,-1,0
3197,1997,19,-1,0,1,-1,-1,1,3102,0,-1,1,-1,-1,-1,0
3196,1998,19,-1,0,1,-1,-1,1,3103,1,-1,1,-1,-1,-1,0
3195,1999,19,-1,0,1,-1,-1,1,3104,0,-1,1,-1,-1,-1,0
3194,1904,19,-1,0,1,-1,-1,1,3105,0,-1,1,-1,-1,-1,0
3100,1900,19,0,1,3,-1,-1,1,3106,0,1,-1,-1,-1,-1,0
3101,1901,19,0,1,3,-1,-1,1,3107,0,1,-1,3100,-1,-1,0
3102,1902,19,0,1,3,-1,-1,2,3108,0,1,-1,3101,-200,-1,1
3103,1903,19,0,1,3,-1,-1,2,3109,0,1,-1,3102,-1,-1,3
3104,1904,19,1,1,3,-1,-1,2,3110,0,1,-1,3103,-1,-1,0
3105,1905,19,1,1,3,-1,-1,2,3111,0,1,-1,3104,-1,-1,0
3106,1906,19,1,1,3,-1,-1,2,3112,0,1,-1,3105,-1,-1,0
3107,1907,19,1,1,3,-1,-1,1,3113,0,1,-1,3106,-1,-1,0
3108,1908,19,1,1,3,-1,-1,1,3114,0,1,-1,3107,-1,-1,1
3109,1909,19,1,1,3,-1,-1,3,3115,0,1,-1,3108,-1,-1,0
3110,1910,19,1,1,3,-1,-1,2,3116,0,1,-1,3109,-100,-1,0
3111,1911,19,1,1,3,-1,-1,2,3117,0,1,-1,3110,-1,-1,0
3112,1912,19,1,1,3,-1,-1,1,3118,0,1,-1,3111,-1,-1,0
3113,1913,19,1,1,3,-1,-1,2,3119,0,1,-1,3112,-1,-1,0
3299,1194,11,-1,0,1,-1,-1,1,3200,1,-1,1,-1,-1,-1,0
3298,1195,11,-1,0,1,-1,-1,1,3201,1,-1,1,-1,-1,-1,1
3297,1196,11,-1,0,1,-1,-1,1,3202,0,-1,1,-1,-1,-1,0
3296,1197,11,-1,0,1,-1,-1,1,3203,1,-1,1,-1,-1,-1,1
3295,1198,11,-1,0,1,-1,-1,1,3204,1,-1,1,-1,-1,-1,0
3294,1199,11,-1,0,1,-1,-1,1,3205,1,-1,1,-1,-1,-1,1
3293,1104,11,-1,0,1,-1,-1,1,3206,1,-1,1,-1,-1,-1,2
3200,1100,11,0,1,3,-1,-1,1,3207,0,1,-1,-1,-1,-1,0
3201,1101,11,0,1,3,-1,-1,1,3208,0,1,-1,3200,-1,-1,0
3202,1102,11,0,1,3,-1,-1,2,3209,0,1,-1,3201,-1,-1,1
3203,1103,11,0,1,3,-1,-1,2,3210,0,1,-1,3202,-1,-1,2
3204,1104,11,1,1,3,-1,-1,2,3211,0,1,-1,3203,-1,-1,2
3205,1105,11,1,1,3,-1,-1,2,3212,0,1,-1,3204,-1,-1,0
3206,1106,11,1,1,3,-1,-1,1,3213,0,1,-1,3205,-1,-1,1
3207,1107,11,1,1,3,-1,-1,3,3214,0,1,-1,3206,-1,-1,0
3208,1108,11,1,1,3,-1,-1,2,3215,0,1,-1,3207,100,-1,1
3209,1109,11,1,1,3,-1,-1,2,3216,0,1,-1,3208,-1,-1,1
3210,1110,11,1,1,3,-1,-1,1,3217,0,1,-1,3209,-40,-1,0
3211,1111,11,1,1,3,-1,-1,2,3218,0,1,-1,3210,-1,-1,0
3212,1112,11,1,1,3,-1,-1,2,3219,0,1,-1,3211,-1,-1,0
3213,1113,11,1,1,3,-1,-1,2,3220,0,1,-1,3212,-1,-1,1
3399,1795,17,-1,0,1,-1,-1,1,3300,0,-1,1,-1,-1,-1,0
3398,1796,17,-1,0,1,-1,-1,1,3301,1,-1,1,-1,-1,-1,0
3397,1797,17,-1,0,1,-1,-1,1,3302,2,-1,1,-1,-1,-1,0
3396,1798,17,-1,0,1,-1,-1,1,3303,3,-1,1,-1,70,-1,1
3395,1799,17,-1,0,1,-1,-1,1,3304,4,-1,1,-1,-1,-1,0
3394,1714,17,-1,0,1,-1,-1,1,3305,5,-1,1,-1,-1,-1,2
3300,1700,17,0,1,3,-1,-1,3,3306,0,1,-1,-1,-1,-1,0
3301,1701,17,0,1,3,-1,-1,1,3307,0,1,-1,3300,-1,-50,2
3302,1702,17,0,1,3,-1,-1,3,3308,0,1,-1,3301,-1,-1,0
3303,1703,17,0,1,3,-1,-1,3,3309,0,1,-1,3302,-1,-1,0
3304,1704,17,1,1,3,-1,-1,3,3310,0,1,-1,3303,-1,-1,0
3305,1705,17,1,1,3,-1,-1,1,3311,0,1,-1,3304,-1,-1,0
3306,1706,17,1,1,3,-1,-1,2,3312,0,1,-1,3305,-1,-1,1
3307,1707,17,1,1,3,-1,-1,2,3313,0,1,-1,3306,-1,-1,1
3308,1708,17,1,1,3,-1,-1,2,3314,0,1,-1,3307,-1,-1,0
3309,1709,17,1,1,3,-1,-1,2,3315,0,1,-1,3308,100,-1,1
3310,1710,17,1,1,3,-1,-1,2,3316,0,1,-1,3309,-1,-1,0
3311,1711,17,1,1,3,-1,-1,3,3317,0,1,-1,3310,-1,-1,0
3312,1712,17,1,1,3,-1,-1,3,3318,0,1,-1,3311,-1,-1,0
3313,1713,17,1,1,3,-1,-1,2,3319,0,1,-1,3312,-1,-1,0
3314,1714,17,1,1,3,-1,-1,4,3320,0,1,-1,3313,-1,-1,2
3499,294,2,-1,0,1,-1,-1,1,3400,0,-1,1,-1,-1,-1,3
3498,295,2,-1,0,1,-1,-1,1,3401,1,-1,1,-1,-1,-1,1
3497,296,2,-1,0,1,-1,-1,1,3402,2,-1,1,-1,-1,-1,0
3496,297,2,-1,0,1,-1,-1,1,3403,3,-1,1,-1,-1,-1,1
3495,298,2,-1,0,1,-1,-1,1,3404,4,-1,1,-1,-1,-1,0
3494,299,2,-1,0,1,-1,-1,1,3405,5,-1,1,-1,-1,-1,0
3493,204,2,-1,0,1,-1,-1,1,3406,6,-1,1,-1,-1,-1,2
3400,200,2,0,1,3,-1,-1,1,3407,0,1,-1,-1,-1,-1,0
3401,201,2,0,1,3,-1,-1,1,3408,0,1,-1,3400,-1,-50,2
3402,202,2,0,1,3,-1,-1,2,3409,0,1,-1,3401,-1,-1,0
3403,203,2,0,1,3,-1,-1,2,3410,0,1,-1,3402,40,-1,1
3404,204,2,1,1,3,-1,-1,3,3411,0,1,-1,3403,-1,-1,2
3405,205,2,1,1,3,-1,-1,2,3412,0,1,-1,3404,-1,-1,1
3406,206,2,1,1,3,-1,-1,2,3413,0,1,-1,3405,-1,-1,1
3407,207,2,1,1,3,-1,-1,2,3414,0,1,-1,3406,-1,-1,0
3408,208,2,1,1,3,-1,-1,4,3415,0,1,-1,3407,-1,-1,0
3409,209,2,1,1,3,-1,-1,2,3416,0,1,-1,3408,-1,-1,0
3410,210,2,1,1,3,-1,-1,3,3417,0,1,-1,3409,-1,-1,0
3411,211,2,1,1,3,-1,-1,2,3418,0,1,-1,3410,-1,-1,0
3412,212,2,1,1,3,-1,-1,2,3419,0,1,-1,3411,-1,-1,1
3413,213,2,1,1,3,-1,-1,4,3420,0,1,-1,3412,-1,-1,1
3414,214,2,1,1,3,-1,-1,5,3421,0,1,-1,3413,-1,-1,0
4199,1394,13,-1,0,1,-1,-1,1,4100,0,-1,1,-1,-1,-1,1
4198,1395,13,-1,0,1,-1,-1,1,4101,1,-1,1,-1,-1,-1,0
4197,1396,13,-1,0,1,-1,-1,1,4102,2,-1,1,-1,-1,-1,0
4196,1397,13,-1,0,1,-1,-1,1,4103,3,-1,1,-1,-1,-1,0
4195,1398,13,-1,0,1,-1,-1,1,4104,4,-1,1,-1,-1,-1,1
4194,1399,13,-1,0,1,-1,-1,1,4105,5,-1,1,-1,-1,-1,0
4193,1304,13,-1,0,1,-1,-1,1,4106,6,-1,1,-1,-1,-1,2
4100,1300,13,0,1,3,-1,-1,2,4107,0,1,-1,-1,-1,-1,0
4101,1301,13,0,1,3,-1,-1,2,4108,0,1,-1,4100,-1,-1,2
4102,1302,13,0,1,3,-1,-1,3,4109,0,1,-1,4101,-1,-1,0
4103,1303,13,0,1,3,-1,-1,4,4110,0,1,-1,4102,-1,-1,1
4104,1304,13,1,1,3,-1,-1,3,4111,0,1,-1,4103,-1,-1,2
4105,1305,13,1,1,3,-1,-1,2,4112,0,1,-1,4104,-1,-1,1
4106,1306,13,1,1,3,-1,-1,2,4113,0,1,-1,4105,-1,-1,0
4107,1307,13,1,1,3,-1,-1,2,4114,0,1,-1,4106,-1,-1,0
4108,1308,13,1,1,3,-1,-1,3,4115,0,1,-1,4107,-1,-1,0
4109,1309,13,1,1,3,-1,-1,1,4116,0,1,-1,4108,-1,-1,1
4110,1310,13,1,1,3,-1,-1,2,4117,0,1,-1,4109,100,-1,1
4111,1311,13,1,1,3,-1,-1,2,4118,0,1,-1,4110,-1,-1,1
4112,1312,13,1,1,3,-1,-1,2,4119,0,1,-1,4111,-1,-1,1
4113,1313,13,1,1,3,-1,-1,5,4120,0,1,-1,4112,-1,-1,0
4299,696,6,-1,0,1,-1,-1,1,4200,0,-1,1,-1,-1,-1,1
4298,697,6,-1,0,1,-1,-1,1,4201,0,-1,1,-1,-50,-1,0
4297,698,6,-1,0,1,-1,-1,1,4202,0,-1,1,-1,-1,-1,0
4296,699,6,-1,0,1,-1,-1,1,4203,0,-1,1,-1,-1,-1,1
4295,604,6,-1,0,1,-1,-1,1,4204,0,-1,1,-1,-1,-1,1
4294,608,6,-1,0,1,-1,-1,1,4205,0,-1,1,-1,-1,-1,3
4200,600,6,0,1,3,-1,-1,1,4206,0,1,-1,-1,-1,-1,0
4201,601,6,0,1,3,-1,-1,1,4207,0,1,-1,4200,-1,-1,2
4202,602,6,0,1,3,-1,-1,1,4208,0,1,-1,4201,-1,-1,0
4203,603,6,0,1,3,-1,-1,3,4209,0,1,-1,4202,-1,-1,1
4204,604,6,1,1,3,-1,-1,3,4210,0,1,-1,4203,-1,-1,1
4205,605,6,1,1,3,-1,-1,2,4211,0,1,-1,4204,-1,-1,0
4206,606,6,1,1,3,-1,-1,1,4212,0,1,-1,4205,-1,-1,1
4207,607,6,1,1,3,-1,-1,4,4213,0,1,-1,4206,-1,-1,1
4208,608,6,1,1,3,-1,-1,4,4214,0,1,-1,4207,-1,-1,3
4209,609,6,1,1,3,-1,-1,2,4215,0,1,-1,4208,-1,-1,0
4210,610,6,1,1,3,-1,-1,3,4216,0,1,-1,4209,-1,-1,0
4211,611,6,1,1,3,-1,-1,3,4217,0,1,-1,4210,-1,-1,0
4212,612,6,1,1,3,-1,-1,3,4218,0,1,-1,4211,50,-1,1
4213,613,6,1,1,3,-1,-1,3,4219,0,1,-1,4212,-1,-1,0
4399,1495,14,-1,0,1,-1,-1,1,4300,0,-1,1,-1,-100,-1,0
4398,1496,14,-1,0,1,-1,-1,1,4301,1,-1,1,-1,-40,-1,0
4397,1497,14,-1,0,1,-1,-1,1,4302,2,-1,1,-1,-1,-1,0
4396,1498,14,-1,0,1,-1,-1,1,4303,3,-1,1,-1,80,-1,1
4395,1499,14,-1,0,1,-1,-1,1,4304,4,-1,1,-1,-1,-1,0
4394,1414,14,-1,0,1,-1,-1,1,4305,5,-1,1,-1,-1,-1,2
4300,1400,14,0,1,3,-1,-1,2,4306,0,1,-1,-1,-1,-1,0
4301,1401,14,0,1,3,-1,-1,2,4307,0,1,-1,4300,-1,-50,2
4302,1402,14,0,1,3,-1,-1,2,4308,0,1,-1,4301,-1,-1,0
4303,1403,14,0,1,3,-1,-1,2,4309,0,1,-1,4302,-100,-1,0
4304,1404,14,1,1,3,-1,-1,2,4310,0,1,-1,4303,-100,-1,2
4305,1405,14,1,1,3,-1,-1,2,4311,0,1,-1,4304,-1,-1,0
4306,1406,14,1,1,3,-1,-1,3,4312,0,1,-1,4305,-1,-1,3
4307,1407,14,1,1,3,-1,-1,3,4313,0,1,-1,4306,-1,-1,1
4308,1408,14,1,1,3,-1,-1,4,4314,0,1,-1,4307,-1,-1,0
4309,1409,14,1,1,3,-1,-1,3,4315,0,1,-1,4308,-1,-1,0
4310,1410,14,1,1,3,-1,-1,3,4316,0,1,-1,4309,-1,-1,0
4311,1411,14,1,1,3,-1,-1,2,4317,0,1,-1,4310,70,-1,1
4312,1412,14,1,1,3,-1,-1,2,4318,0,1,-1,4311,-1,-1,0
4313,1413,14,1,1,3,-1,-1,2,4319,0,1,-1,4312,50,-1,1
4314,1414,14,1,1,3,-1,-1,2,4320,0,1,-1,4313,-1,-1,2
4499,995,9,-1,0,1,-1,-1,1,4400,0,-1,1,-1,-1,-1,0
4498,996,9,-1,0,1,-1,-1,1,4401,0,-1,1,-1,-1,-1,0
4497,997,9,-1,0,1,-1,-1,1,4402,1,-1,1,-1,-1,-1,1
4496,998,9,-1,0,1,-1,-1,1,4403,1,-1,1,-1,-1,-1,0
4495,999,9,-1,0,1,-1,-1,1,4404,0,-1,1,-1,-1,-1,0
4494,908,9,-1,0,1,-1,-1,1,4405,0,-1,1,-1,-1,-1,3
4400,900,9,0,1,3,-1,-1,2,4406,0,1,-1,-1,-1,-1,0
4401,901,9,0,1,3,-1,-1,2,4407,0,1,-1,4400,-1,-1,0
4402,902,9,0,1,3,-1,-1,2,4408,0,1,-1,4401,-1,-1,2
4403,903,9,0,1,3,-1,-1,2,4409,0,1,-1,4402,-50,-1,0
4404,904,9,1,1,3,-1,-1,2,4410,0,1,-1,4403,-1,-1,0
4405,905,9,1,1,3,-1,-1,2,4411,0,1,-1,4404,-40,-1,0
4406,906,9,1,1,3,-1,-1,2,4412,0,1,-1,4405,-1,-1,1
4407,907,9,1,1,3,-1,-1,2,4413,0,1,-1,4406,-1,-1,0
