LevelId,MainWord,Word,SplitWords,ImageIds,LevelDifficulty,IncludedLetters,ExcludedLetters,Gameplay Letter,FB Image
57,Blueberry,Blue;Berry,,NA,1,,,12,img626f95029c5c0.jpg;img5e2be4ceeac54.jpg
58,Spacebar,Space;Bar,,NA,0,,,10,img5e2edef9787c9.jpg;img626f9620d200d.jpg
59,Lovebird,Love;Bird,,NA,0,,,14,img61b03f8236b13.jpg;img615fe3e5272a8.jpg
60,Pirate,Pie;Rate,,NA,2,xz,,10,img5e2c01df4c8fa.jpg;img626f97975c87b.jpg
61,Cocktail,Cock;Tail,,NA,0,,,12,img5e33daadc94db.jpg;img5e38fc54b6c1f.jpg
62,Keyboard,Key;Board,,NA,0,,,14,img62039954ef7b2.jpg;img626f999c8cd72.jpg
63,Airplane,Air;Plane,,NA,0,,,10,img626f9a0278bb4.jpg;img5e2194299ee14.jpg
64,Bookstore,Book;Store,,NA,1,,,12,img5ecb61e9450ac.jpg;img5e316caf94e49.jpg
65,Horseman,Horse;Man,,NA,0,,,12,img61b046792b827.jpg;img61b046792b9d2.jpg
66,Pickup,Pick;Up,,NA,0,,,8,img5e423cd77c2f3.jpg;img628608fe80e84.jpg
67,Season,Sea;Son,,NA,1,,,10,img645e4091b1d43.jpg;img5ebf8f704b35c.jpg
68,Handbag,Hand;Bag,,NA,0,,,14,img5e2fff1d8656b.jpg;img5e2c14c20ebaf.jpg
69,Boombox,Boom;Box,,NA,0,,,12,img645e41114d99f.jpg;img61b04ac97af79.jpg
70,Party,Part;Tea,,NA,2,,,8,img61b07197637f0.jpg;img645e413813765.jpg
71,Milkman,Milk;Man,,NA,0,,,10,img61b04d685fa8f.jpg;img5e300b17e7bcd.jpg
72,Bookmark,Book;Mark,,NA,0,,,12,img5e300c364c784.jpg;img5e300ee8411aa.jpg
73,Catwalk,Cat;Walk,,NA,0,,,12,img5e300fb7ae79c.jpg;img5e3012464320c.jpg
74,Kitten,Kit;Ten,,NA,1,,,10,img5e2edd497ea21.jpg;img6350f7583a4d3.jpg
75,Teardrop,Tear;Drop,,NA,0,,,10,img61b0799dd7efa.jpg;img5e3016dce39c3.jpg
76,Doghouse,Dog;House,,NA,0,,,14,img5e2c393a26aa5.jpg;img5e2ecccc530e0.jpg
77,Silkworm,Silk;Worm,,NA,1,,,12,img5e2ea71de65d1.jpg;img6138a1a337138.jpg
78,Postcard,Post;Card,,NA,0,,,10,img5e301bf7d28d6.jpg;img5e340b9bcc0ae.jpg
79,Facebook,Face;Book,,NA,1,,,14,img5e340c2dd6c8f.jpg;img6377539303a85.jpg
80,Great,Grey;Eat,,NA,2,,,10,img5e2c376acce0c.jpg;img5e450c56e9c7c.jpg
81,Honeycomb,Honey;Comb,,NA,0,,,12,img5e2eac65f0feb.jpg;img5e30253fc36bb.jpg
82,Island,Eyes;Land,,NA,1,,,10,img5e2fe41409018.jpg;img5e2fe6e285e88.jpg
83,Seaworld,Sea;World,,NA,0,,,12,img5e3026efd1125.jpg;img5e3027ccb6276.jpg
84,Jawbone,Jaw;Bone,,NA,1,,,12,img5e3029524dc1e.jpg;img5e3bdefdcbc70.jpg
85,Sandwich,Sand;Witch,,NA,0,,,12,img5e2c3647d5e78.jpg;img5e302b816d222.jpg
86,Basketball,Basket;Ball,,NA,0,,,14,img5e2c2baced128.jpg;img5e2c2ffe884e7.jpg
87,Rosebud,Rose;Bud,,NA,1,flw,,12,img5e2fdb5b59d76.jpg;img5e2fe0a3a89ea.jpg
88,Toothpaste,Tooth;Paste,,NA,0,,,14,img5e2ff046269b1.jpg;img5e2ffa3e73579.jpg
89,Goldfish,Gold;Fish,,NA,0,,,12,img5e2ffbeb785f6.jpg;img61b0637b38aa1.jpg
90,Onion,On;Neon,,NA,2,,,10,img6481c8469aea0.jpg;img63775468890fd.jpg
91,Hotspot,Hot;Spot,,NA,1,,,12,img626facde43caa.jpg;img6481c8b38fe31.jpg
92,Sunglass,Sun;Glass,,NA,0,,,14,img5e1330eea7d68.jpg;img61657a68e2c83.jpg
93,Crosswalk,Cross;Walk,,NA,0,,,12,img60e53a9a55e37.jpg;img608fd761af1a9.jpg
94,Canteen,Can;Teen,,NA,1,,,10,img61af3962c3ac4.jpg;img5e32d7188a8cc.jpg
95,Snowball,Snow;Ball,,NA,0,,,12,img5e2af3d982a67.jpg;img5e2bc8d98c804.jpg
96,Playhouse,Play;House,,NA,0,,,12,img5e3023b9aad1a.jpg;img5e3028cd03073.jpg
97,Forest,Four;Rest,,NA,2,,,10,img5e302c2c0c8e3.jpg;img5e302ded99f1a.jpg
98,Wallpaper,Wall;Paper,,NA,0,,,14,img5e30305c196ee.jpg;img615aa2b6c1ebd.jpg
99,Icecream,Ice;Cream,,NA,0,,,12,img5e3034caaf985.jpg;img5e30366f4e325.jpg
100,Chestnut,Chest;Nut,,NA,1,,,12,img61b07812e0c0e.jpg;img626faee75a1ca.jpg
101,Stopwatch,Stop;Watch,,NA,0,,,12,img5e303835ce6c1.jpg;img5e303bce6a4ae.jpg
102,Dragon,Drag;On,,NA,2,,,8,img608fd6442db44.jpg;img5e411c6aa7822.jpg
103,Pinkeye,Pink;Eye,,NA,1,,,10,img61b18ea511042.jpg;img61b18ea50cf5d.jpg
104,Cellphone,Cell;Phone,,NA,0,,,12,img61b18f80cd9fd.jpg;img5e3129bec5f7c.jpg
105,Bulletproof,Bullet;Proof,,NA,2,,,12,img637758d9b5952.jpg;img627cd01050921.jpg
106,Brainwash,Brain;Wash,,NA,0,,,12,img5e31348cac920.jpg;img61b191d064b84.jpg
107,Goodbye,Good;Bye,,NA,1,,,10,img627cd19cacdf6.jpg;img5e314a9388f38.jpg
108,Lionking,Lion;King,,NA,0,,,12,img5e31529a1d789.jpg;img5e31548aa1e12.jpg
109,Arrow,Air;Row,,NA,1,,,10,img5e31584299bed.jpg;img63775cc1321d9.jpg
110,Lemonade,Lemon;Aid,,NA,1,,,12,img5e315e7d736e1.jpg;img627cd52a50f3e.jpg
111,Taxidriver,Taxi;Driver,,NA,0,,,12,img5e312efb7ad1e.jpg;img61b197824d2d3.jpg
112,Nutty,Nut;Tee,,NA,2,,,12,img5e3136e2f19e0.jpg;img61b197f606c6b.jpg
113,Redsea,Red;Sea,,NA,0,,,8,img5e3aa61b0d1a9.jpg;img61b199ec89aae.jpg
114,Homemade,Home;Maid,,NA,2,,,12,img5e3145366c6d1.jpg;img5e3148c8080e2.jpg
115,Notebook,Note;Book,,NA,0,,,10,img5e314a84b2c28.jpg;img5e300c364c784.jpg
116,Office,Off;Ice,,NA,1,,,10,img63775dc91feef.jpg;img5e3034caafbd7.jpg
117,Whiten,White;Ten,,NA,1,,,12,img5e2bd04312ad3.jpg;img5e2eddf99ea22.jpg
118,Eardrum,Ear;Drum,,NA,0,,,10,img5e31553d444ef.jpg;img61b1a2ea0ec6b.jpg
119,Forgive,Four;Give,,NA,2,,,14,img5e302c2c0c9e0.jpg;img5e3182a5df9cf.jpg
120,Bedroom,Bed;Room,,NA,0,,,10,img5e315a3371146.jpg;img5e2edef97868c.jpg
121,Topspin,Top;Spin,,NA,0,,,10,img61b1a6a515c8f.jpg;img5e315d199cafd.jpg
122,Plumber,Plum;Bear,,NA,2,,,12,img5e2ed1976698a.jpg;img627ce6691a1d3.jpg
123,Highway,High;Weigh,,NA,0,,,8,img5e31637171d7a.jpg;img5e31643f02c1f.jpg
124,Monkey,Monk;Key,,NA,2,,,12,img5e3ab7a2642e8.jpg;img627ce7fa7d2d7.jpg
125,Cottoncandy,Cotton;Candy,,NA,0,,,14,img5e316a3be9147.jpg;img5e316b0269b22.jpg
126,Database,Data;Base,,NA,2,,,10,img5e316cb6838ea.jpg;img5e33f6eddbfdf.jpg
127,Watermark,Water;Mark,,NA,1,,,12,img5e2ac48f060da.jpg;img5e300ee840fb4.jpg
128,Raincoat,Rain;Coat,,NA,0,,,10,img5e411ad822aa0.jpg;img5e2aab6e8602e.jpg
129,Paypal,Pay;Pal,,NA,1,,,10,img63776186e2e53.jpg;img5e3171baad914.jpg
130,Hourglass,Hour;Glass,,NA,2,,,12,img5e3174f30cfd5.jpg;img5e3175d7d69d1.jpg
131,Baseball,Base;Ball,,NA,0,,,8,img5e33f69c848ba.jpg;img5e2c2ffe882ce.jpg
132,Pitbull,Pit;Bull,,NA,1,,,10,img5e3ab38a1ea1c.jpg;img5e3aab7566ccb.jpg
133,Copycat,Copy;Cat,,NA,1,,,12,img5e3ab625cebf6.jpg;img5e30225330ada.jpg
134,Softball,Soft;Ball,,NA,0,,,10,img5e3a9bc8c7706.jpg;img5e2aba5e35f13.jpg
135,Denmark,Den;Mark,,NA,2,,,12,img5e3169259968f.jpg;img5e300ee8411aa.jpg
136,Headspring,Head;Spring,,NA,1,,,12,img62039cf06b05a.jpg;img61c04b5976145.jpg
137,Sweetheart,Sweet;Heart,,NA,0,,,12,img5e316ee3214f5.jpg;img5e31700694f2d.jpg
138,Dolphin,Doll;Fin,,NA,1,,,14,img5e3171ecdbb00.jpg;img5e342c9fa626a.jpg
139,Bodyguard,Body;Guard,,NA,1,,,14,img5e3178ab255c7.jpg;img61b43ca61ec7c.jpg
140,Microwave,Micro;Wave,Micro;Wave,NA,0,,,10,img62039586e8d9f.jpg;img5e13144ba5fc6.jpg
141,Pilgrim,Pill;Grim,,NA,2,,,12,img5e3157252b233.jpg;img5e3158e08bd77.jpg
142,Babypink,Baby;Pink,,NA,0,,,12,img61b2fdf48fffd.jpg;img5e2fdc4822fd4.jpg
143,Reindeer,Rain;Deer,,NA,1,,,14,img5e318d45a6437.jpg;img5e318f1b06835.jpg
144,Spyglass,Spy;Glass,,NA,1,,,14,img5e411a6ac3b79.jpg;img5e31968879bff.jpg
145,Oatmeal,Oat;Meal,,NA,0,,,10,img5e326d39d12b3.jpg;img5e3276d9e9ca4.jpg
146,Tenant,Ten;Ant,,NA,2,,,12,img61b31760c9101.jpg;img5e327bf5b4d8b.jpg
147,Backpack,Back;Pack,,NA,0,,,12,img5e380b3244ddb.jpg;img5e32933448ff4.jpg
148,Hangover,Hang;Over,,NA,1,,,10,img5e32982b35ea3.jpg;img5e329d13b5d26.jpg
149,Haystack,Hay;Stake,,NA,2,,,10,img5e32a2948fd90.jpg;img5e32a5253bc97.jpg
150,Footprint,Foot;Print,,NA,0,,,12,img5e2ab0d2bf5cc.jpg;img5e32a7ea91af8.jpg
151,Bellow,Bee;Low,,NA,1,,,14,img5e32aaf516cc1.jpg;img5e32b05a2ace4.jpg
152,Underwater,Under;Water,,NA,1,,,16,img5e32c6ba110c1.jpg;img5e2e8f9e22be0.jpg
153,Gooseberry,Goose;Berry,,NA,0,,,14,img5e32bd9a8d941.jpg;img5e32bf785ef16.jpg
154,Fortune,Four;Tune,,NA,2,,,12,img61b344d29863d.jpg;img63776517d5f87.jpg
155,Peppermint,Paper;Mint,,NA,1,,,12,img5e32caee68945.jpg;img5e37c5a9b820b.jpg
156,Pinwheel,Pin;Wheel,,NA,0,,,10,img5e32d284c976a.jpg;img5e32d3fce69dd.jpg
157,Start,Star;Art,,NA,1,,,12,img5e2c2901e3cec.jpg;img627df0f7bde59.jpg
158,Clockwise,Clock;Wise,,NA,1,,,12,img5e32c8a163632.jpg;img63776703b3d04.jpg
159,Snowglobe,Snow;Globe,,NA,0,,,14,img5e32d16fb1e23.jpg;img5e32d3c18dea5.jpg
160,Supreme,Soup;Ream,,NA,2,,,8,img5e32d7362c356.jpg;img5e32dfce60df9.jpg
161,Pancake,Pan;Cake,,NA,0,,,12,img61b3525d3d49b.jpg;img5e32a5252c667.jpg
162,Funfair,Fun;Fair,,NA,1,,,10,img61b35680c6cc0.jpg;img5e32d06038619.jpg
163,Kidnap,Kid;Nap,,NA,2,chlr,e,14,img5e32d261d5afc.jpg;img5e32d44fac5f6.jpg
164,Snowwhite,Snow;White,,NA,0,,,10,img5e2af3d98295f.jpg;img5e2bfed4009dc.jpg
165,Pinecone,Pine;Cone,,NA,1,,,12,img61b35f8045e3c.jpg;img5e32de47dbfa5.jpg
166,Explain,X;Plane,,NA,2,,,12,img5e32e14a5c9d7.jpg;img5e32e33f57171.jpg
167,Rockstar,Rock;Star,,NA,0,,,10,img61b43eb904b3d.jpg;img5e4a2ba367544.jpg
168,Payment,Pay;Mint,,NA,2,,,14,img5e32e9cc3262d.jpg;img5e32eb3b0bcd5.jpg
169,Meatball,Meat;Ball,,NA,0,,,12,img61b444447c8a0.jpg;img5e33b81ed4536.jpg
170,Bedbug,Bed;Bug,,NA,1,lay,,12,img5e33ba5958c80.jpg;img5e33bc71898a3.jpg
171,Neon,Knee;On,,NA,0,,,8,img5e33bf8686cc6.jpg;img5e2aeb951009e.jpg
172,Seashore,Sea;Shore,,NA,0,,,10,img5e314fcaa077f.jpg;img5e33c5a4a599e.jpg
173,Public,Pub;Lick,,NA,2,,,14,img5e33c93e09435.jpg;img5e33cb3e706cf.jpg
174,Hometown,Home;Town,,NA,1,,,12,img5e33d389a4373.jpg;img5e33d523b46c2.jpg
175,Newspaper,News;Paper,,NA,0,,,12,img5e33efb070683.jpg;img5e33f312f2116.jpg
176,Firefly,Fire;Fly,,NA,1,,,14,img5e33b93f9f598.jpg;img5e33bc9eef437.jpg
177,Germany,Germ;Many,,NA,2,,,12,img637767a7a3d0c.jpg;img627e03ecc2e96.jpg
178,Sunscreen,Sun;Screen,,NA,0,,,12,img5e33c497c0eae.jpg;img5e33c740aca42.jpg
179,Bowtie,Bow;Tie,,NA,1,,,10,img61b44f033521c.jpg;img61b44f033529d.jpg
180,Cabinet,Cabin;Net,,NA,2,,,12,img61b450f16a784.jpg;img627e096e5ecd4.jpg
181,Padlock,Pad;Lock,,NA,0,,,10,img5e33e273e203d.jpg;img5e33e46acdfc9.jpg
182,Blackberry,Black;Berry,,NA,1,,,14,img5e33f1d9418f4.jpg;img61b453b3ba32a.jpg
183,Gingerbread,Ginger;Bread,,NA,1,,,16,img5e37a983d180e.jpg;img5e37ac1a700a8.jpg
184,Grapefruit,Grape;Fruit,,NA,0,,,12,img61b454eb2b565.jpg;img61b454eb2b49c.jpg
185,Subway,Sub;Way,,NA,1,,,10,img61b4553d125c0.jpg;img5e2bda22278d9.jpg
186,Weekend,Weak;End,,NA,1,,,12,img627e1b18c0b0a.jpg;img5e3d13f1ea2af.jpg
187,Carpet,Car;Pet,,NA,0,,,10,img5e37ba6cb68e3.jpg;img61b456552952e.jpg
188,Barley,Bar;Lay,,NA,2,,,12,img61b4571659a59.jpg;img5e37c3a8ee904.jpg
189,Nightdress,Night;Dress,,NA,1,,,14,img5e37c66f082dc.jpg;img5e37c97f657dd.jpg
190,Fluid,Flu;Aid,,NA,2,,,10,img5e37cbe12db86.jpg;img627e210c664de.jpg
191,Buttercup,Butter;cup,,NA,0,,,14,img5e37de9713cb6.jpg;img5e37e297e9cf6.jpg
192,Mischief,Miss;Chief,,NA,1,,,12,img61b45ee1782d5.jpg;img5e37eb0d0fb26.jpg
193,Fortnight,Fort;Night,,NA,1,,,12,img5e38faa8df73b.jpg;img5e38fe7998fc4.jpg
194,Doughnut,Dough;Nut,,NA,0,,,10,img5e3900295fa09.jpg;img5e132e684dd44.jpg
195,Purple,Purr;Pole,,NA,2,,,8,img5e39048792f3a.jpg;img5e390691a4fa6.jpg
196,Rocket,Rock;cat,,NA,1,,,12,img61b4621f163ec.jpg;img5e454fb4604ac.jpg
197,Dragonfly,Dragon;Fly,,NA,0,,,14,img5e390d8d5e466.jpg;img5e390ff4aaf41.jpg
198,Logout,Log;Out,,NA,1,,,10,img5e391503b6bab.jpg;img5e3919b1c554f.jpg
199,Wristband,Wrist;Band,,NA,1,,,14,img637784edc4ff0.jpg;img5e3929e29e5ce.jpg
200,Pantry,Pan;Tree,,NA,2,,,12,img5e392d74522f2.jpg;img63776b61f0ab3.jpg
201,Treehouse,Tree;House,,NA,0,,,14,img5e33adce1d7e6.jpg;img5e33af464deea.jpg
202,Puppet,Pop;Pet,,NA,1,,,10,img5e33b64b903f5.jpg;img5e33b8d56ea22.jpg
203,Heyday,Hay;Day,,NA,1,,,12,img5e33bb551ae2f.jpg;img62848fcdba34b.jpg
204,Candycane,Candy;Cane,,NA,0,sw,t,14,img5e33c3f8b0cb8.jpg;img61b4802bbe698.jpg
205,Wallstreet,Wall;Street,,NA,2,,,14,img62849326ce77e.jpg;img5e33d13e833aa.jpg
206,Peacock,Pea;Cock,,NA,0,,,12,img5e33d6493f546.jpg;img5e33daadc94db.jpg
207,Cardboard,Card;Board,,NA,1,,,14,img5e3171548ba58.jpg;img628495bf2a452.jpg
208,Limestone,Lime;Stone,,NA,0,,,12,img61b48813d3d78.jpg;img5e2c376acd086.jpg
209,Bargain,Bar;Gain,,NA,1,,,12,img61b48851770b6.jpg;img5e3b9b345c3e3.jpg
210,Mandate,Man;Date,,NA,1,,,14,img5e37bae55965c.jpg;img5e3a5a2bd7c41.jpg
211,Bedtime,Bed;Time,,NA,0,,,10,img5e33ba5958d8b.jpg;img5e37c07fde9b3.jpg
212,Pigment,Pig;Mint,,NA,2,,,12,img5e37c2a8c84d2.jpg;img5e37c5a9b820b.jpg
213,Aircraft,Air;Craft,,NA,0,,,10,img5e37c80bf2c15.jpg;img5e4140ae27d35.jpg
214,Carriage,Carry;Age,,NA,2,,,14,img5e37cdbe548a9.jpg;img5e37d0251411a.jpg
215,Breakfast,Break;Fast,,NA,0,,,12,img5e37dac0b3707.jpg;img5e37dc3ba61a9.jpg
216,Illegal,Ill;Eagle,,NA,1,,,12,img5e33fb06c747d.jpg;img5e3b9f3857c7c.jpg
217,Wholesale,Hole;Sale,,NA,1,,,14,img5e37e05a5681d.jpg;img5e37e224db79e.jpg
218,Necklace,Neck;Lace,,NA,0,,,10,img61b4913d78026.jpg;img5e37e6c824f7c.jpg
219,Applesauce,Apple;Sauce,,NA,2,,,16,img61b491ed12ff6.jpg;img5e37ea05844f4.jpg
220,Chopstick,Chop;Stick,,NA,0,,,12,img5e41270a2417f.jpg;img61b492b69e6a2.jpg
221,Handloom,Hand;Loom,,NA,1,,,12,img5e38ff500b251.jpg;img5e390281aed17.jpg
222,Follow,Fall;Low,,NA,2,,,14,img5e39042d1ea6b.jpg;img5e39089a80084.jpg
223,Sunburn,Sun;Burn,,NA,0,,,10,img5e37dfd662e2e.jpg;img5e390cdd376b5.jpg
224,Bluefish,Blue;Fish,,NA,1,,,14,img5e390f2ded7aa.jpg;img5e3910ea27265.jpg
225,Payroll,Pay;Roll,,NA,0,,,10,img5e3915da14daa.jpg;img5e3918c40f409.jpg
226,Basic,Base;Sick,,NA,2,,,12,img5e33f69c848ba.jpg;img5e33fb06c75de.jpg
227,Combat,Comb;Bat,,NA,1,,,12,img5e3402da9005f.jpg;img5e3404ff237d3.jpg
228,Policeman,Police;Man,,NA,0,,,14,img5e3409fd1c5f3.jpg;img639b259b06d5f.jpg
229,Bandaid,Band;Aid,,NA,1,,,12,img5e340ce3388cb.jpg;img5e31618795275.jpg
230,Romance,Rome;Ants,,NA,2,,,12,img5e34146bb5f15.jpg;img5e3415c5bd55b.jpg
231,Hotmail,Hot;Mail,,NA,0,,,8,img5e3418b185ff9.jpg;img5e341a7e98bf7.jpg
232,Planet,Plan;Net,,NA,1,,,12,img5e341d89d058d.jpg;img5e34219966846.jpg
233,Someday,Sum;Day,,NA,1,,,14,img5e3424889f5c7.jpg;img5e342b21b54d3.jpg
234,Whalebone,Whale;Bone,,NA,0,,,12,img5e342c9fa6067.jpg;img5e342eb5b1c43.jpg
235,Neutral,New;Troll,,NA,2,,,8,img5e3432b8d6c78.jpg;img5e3434a784cb2.jpg
236,Tension,Ten;Son,,NA,1,,,14,img5e3a6ecc0ed4e.jpg;img5e396e53081b3.jpg
237,Fireman,Fire;Man,,NA,0,,,10,img5e3a7fd0b8aa9.jpg;img639b26bdc54b5.jpg
238,Bugspray,Bug;Spray,,NA,1,,,14,img5e3a8468c8ae1.jpg;img5e3a884f8dfc5.jpg
239,Skeeball,Ski;Ball,,NA,1,,,14,img5e3a8b6b3865f.jpg;img615ecac3dc171.jpg
240,Birthday,Birth;Day,,NA,0,,,10,img5e3a9145123a8.jpg;img5e3c14ad86da1.jpg
241,Whiplash,Whip;Lash,,NA,2,,,12,img5e3a5265db4f7.jpg;img5e3a58835ab53.jpg
242,Backup,Back;Up,,NA,0,,,10,img5e380b3244b5d.jpg;img5e3a61bc65b38.jpg
243,Coffee,Cough;Fee,,NA,1,,,10,img5e3a66b7c256d.jpg;img5e3a6da418c4d.jpg
244,Pencil,Pen;Seal,,NA,1,,,12,img61b4a7b902cb2.jpg;img5e3a7a0c99ca1.jpg
245,Doorstep,Door;Step,,NA,0,,,10,img5e3a7b327e6df.jpg;img6284cdd06e107.jpg
246,Service,Serve;Ice,,NA,2,,,12,img61b4a86e090c5.jpg;img5e3a7f90b84b7.jpg
247,Upset,Up;Set,,NA,0,,,10,img5e3a81953d973.jpg;img5e3a843bb09b5.jpg
248,Hero,Hear;Row,,NA,1,,,10,img5e3a86aa1bb7c.jpg;img61b4a9c37a36f.jpg
249,Belief,Bee;Leaf,,NA,2,,,12,img5e3abe0ba6fce.jpg;img5e3abf80dbbe6.jpg
250,Jackpot,Jack;Pot,,NA,0,,,10,img61b4aad49f422.jpg;img5e2ad7df64525.jpg
251,Countdown,Count;Down,,NA,1,,,14,img639b29ea9c0ca.jpg;img5e3b9f3b7af68.jpg
252,Deadline,Dead;Line,,NA,1,,,10,img61b4ac4864713.jpg;img5e3ba4d556ce7.jpg
